"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,20,"G3PCX",2e-04,2947.33333333333,1657,3666.0461704416,2947.33333333333,183,183,186,250,1657,3034,9410,9410,10116,2947.33333333333,15,1
2,21,"G3PCX",2e-04,549.133333333333,146,995.420002286663,549.133333333333,96,96,115,121,146,165,1483,1483,3776,549.133333333333,15,1
2,22,"G3PCX",2e-04,339.2,271,290.2250850633,339.2,128,128,128,143,271,351,573,573,1275,339.2,15,1
2,23,"G3PCX",2e-04,1806.6,750,2212.50745922875,1806.6,579,579,623,675,750,919,5804,5804,7143,1806.6,15,1
2,24,"G3PCX",2e-04,NA,NA,NA,100028,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,3,"G3PCX",2e-04,17772.8,9334,21982.1105778572,17772.8,300,300,1529,4420,9334,15226,37158,37158,84795,17772.8,15,1
2,4,"G3PCX",2e-04,27866.7142857143,18167.5,22664.8648672466,32675.6,5609,5609,5609,10933,16556,28881,62690,62690,76053,35009.5714285714,14,0.933333333333333
2,5,"G3PCX",2e-04,129.714285714286,115.5,47.3342103824229,140.133333333333,101,101,101,107,114,122,156,156,285,150.142857142857,14,0.933333333333333
2,6,"G3PCX",2e-04,298.733333333333,297,57.374044239368,298.733333333333,194,194,200,273,297,338,357,357,397,298.733333333333,15,1
2,7,"G3PCX",2e-04,4556.66666666667,761,7373.81711256279,4556.66666666667,81,81,112,169,761,6619,14505,14505,25749,4556.66666666667,15,1
2,8,"G3PCX",2e-04,999.266666666667,622,602.895213196487,999.266666666667,425,425,441,505,622,1293,1906,1906,2011,999.266666666667,15,1
2,9,"G3PCX",2e-04,988.2,759,591.856425640061,988.2,479,479,493,589,759,1073,1761,1761,2575,988.2,15,1
2,1,"PSO",2e-04,1031.46666666667,1029,220.720853654781,1031.46666666667,596,596,756,866,1029,1187,1277,1277,1379,1031.46666666667,15,1
2,10,"PSO",2e-04,71696.0666666667,88472,51186.9409175352,71696.0666666667,10753,10753,13690,19558,88472,124605,131665,131665,141998,71696.0666666667,15,1
2,11,"PSO",2e-04,58892,52552.5,30359.7369579159,68299.2,16967,16967,16967,38193,51728,69532,95201,95201,133451,73177.7142857143,14,0.933333333333333
2,12,"PSO",2e-04,20754.8666666667,7587,27255.2841609703,20754.8666666667,3924,3924,4022,4229,7587,22210,43964,43964,105000,20754.8666666667,15,1
2,13,"PSO",2e-04,61962.2142857143,33571.5,59551.4389985389,71164.7333333333,5617,5617,5617,18398,33060,76737,169854,169854,170264,76247.9285714286,14,0.933333333333333
2,14,"PSO",2e-04,2161.93333333333,2007,776.481484156638,2161.93333333333,914,914,1217,1644,2007,2643,3201,3201,3719,2161.93333333333,15,1
2,15,"PSO",2e-04,4164,3230.5,3342.41110577379,17219.7333333333,1700,1700,1700,2888,3217,3665,5261,5261,15425,18449.7142857143,14,0.933333333333333
2,16,"PSO",2e-04,3431.46153846154,2956,1682.20859860802,29640.6,2106,2106,2106,2749,2910,3476,3611,3611,8807,34200.6923076923,13,0.866666666666667
2,17,"PSO",2e-04,4546.86666666667,4459,660.621229997803,4546.86666666667,3631,3631,3740,3980,4459,5034,5514,5514,5596,4546.86666666667,15,1
2,18,"PSO",2e-04,11413.9333333333,8158,9340.87539081143,11413.9333333333,4629,4629,5476,6754,8158,12051,19035,19035,42195,11413.9333333333,15,1
2,19,"PSO",2e-04,1902,1590,1099.49384458746,1902,483,483,661,861,1590,2533,3204,3204,4296,1902,15,1
2,2,"PSO",2e-04,3409.86666666667,3529,525.211095882499,3409.86666666667,2443,2443,2606,3028,3529,3749,3851,3851,4412,3409.86666666667,15,1
2,20,"PSO",2e-04,3513.53333333333,2623,2798.59763010657,3513.53333333333,1567,1567,1640,2373,2623,2883,8360,8360,11797,3513.53333333333,15,1
2,21,"PSO",2e-04,496.642857142857,519,278.340855549687,13796.8666666667,30,30,30,339,505,578,765,765,1079,14782.3571428571,14,0.933333333333333
2,22,"PSO",2e-04,623.4,569,386.11948557779,623.4,167,167,203,282,569,774,1209,1209,1536,623.4,15,1
2,23,"PSO",2e-04,23718.9333333333,17956,18990.7074624357,23718.9333333333,7732,7732,9900,12101,17956,23609,38905,38905,84687,23718.9333333333,15,1
2,24,"PSO",2e-04,20966.6,12034,16337.8207175865,140322.2,8156,8156,8156,8156,11789,24992,24992,47862,47862,420966.6,5,0.333333333333333
2,3,"PSO",2e-04,3036.26666666667,2859,889.217108847253,3036.26666666667,2323,2323,2349,2390,2859,3296,3991,3991,5654,3036.26666666667,15,1
2,4,"PSO",2e-04,3747.46666666667,3537,1121.3412801938,3747.46666666667,2303,2303,2406,2965,3537,3916,5994,5994,6284,3747.46666666667,15,1
2,5,"PSO",2e-04,95.1428571428571,87,23.0913141940599,99.4666666666667,42,42,42,83,84,118,122,122,122,106.571428571429,14,0.933333333333333
2,6,"PSO",2e-04,2211.66666666667,2301,376.273203682542,2211.66666666667,1338,1338,1606,2037,2301,2418,2684,2684,2687,2211.66666666667,15,1
2,7,"PSO",2e-04,782.733333333333,864,286.734189168462,782.733333333333,333,333,364,486,864,1008,1091,1091,1211,782.733333333333,15,1
2,8,"PSO",2e-04,3249.53333333333,3327,810.611926409978,3249.53333333333,1842,1842,2291,2481,3327,3811,3914,3914,4946,3249.53333333333,15,1
2,9,"PSO",2e-04,2640.06666666667,2665,814.681398432774,2640.06666666667,1266,1266,1438,2173,2665,2912,3591,3591,4062,2640.06666666667,15,1
